### DATA:

         Q               I              Error
430
1.06922151E-02 2.09811978E-02 2.28081664E-03
1.20287357E-02 1.50101180E-02 1.65845561E-03
1.33652541E-02 1.05512941E-02 7.25481586E-04
1.47017700E-02 8.24861830E-03 3.81094436E-04
1.60382831E-02 6.76180876E-03 2.92917998E-04
1.73747933E-02 5.84540799E-03 2.13732278E-04
1.87113003E-02 5.38223537E-03 2.32826801E-04
2.00478039E-02 5.11504626E-03 2.25256746E-04
2.13843037E-02 5.03122048E-03 2.02462765E-04
2.27207996E-02 4.72616535E-03 1.81911214E-04
2.40572913E-02 4.50361663E-03 1.67153799E-04
2.53937785E-02 4.65160107E-03 1.62497380E-04
2.67302610E-02 4.05868076E-03 1.32577081E-04
2.80667386E-02 3.97328364E-03 1.24272040E-04
2.94032110E-02 3.93552571E-03 1.30833888E-04
3.07396780E-02 3.76754902E-03 1.13640210E-04
3.20761393E-02 3.98040127E-03 1.18746419E-04
3.34125946E-02 3.73472004E-03 1.05322837E-04
3.47490438E-02 3.74590760E-03 1.06995457E-04
3.60854865E-02 3.86968912E-03 1.18528171E-04
3.74219226E-02 3.68495882E-03 1.02462694E-04
3.87583518E-02 3.73078559E-03 1.09320366E-04
4.00947738E-02 3.64243022E-03 1.02310249E-04
4.14311883E-02 3.51277978E-03 9.64883400E-05
4.27675953E-02 3.63734039E-03 9.53093639E-05
4.41039943E-02 3.59366762E-03 9.27248738E-05
4.54403851E-02 3.44070434E-03 8.19579364E-05
4.67767676E-02 3.46594883E-03 9.77940651E-05
4.81131414E-02 3.38369715E-03 9.11551419E-05
4.94495063E-02 3.37882292E-03 8.65889068E-05
5.07858621E-02 3.38925310E-03 8.30658785E-05
5.21222085E-02 3.26718858E-03 7.67327783E-05
5.34585452E-02 3.40348030E-03 8.35766664E-05
5.47948721E-02 3.29912424E-03 8.62485589E-05
5.61311889E-02 3.48975854E-03 7.96372252E-05
5.74674952E-02 3.36004223E-03 8.12523891E-05
5.88037910E-02 3.36665273E-03 8.27227478E-05
6.01400758E-02 3.39292995E-03 7.55804539E-05
6.14763496E-02 3.37801594E-03 7.43293271E-05
6.28126120E-02 3.32103402E-03 8.21486234E-05
6.41488628E-02 3.32663666E-03 7.82337667E-05
6.54851017E-02 3.23448522E-03 7.35518350E-05
6.68213285E-02 3.23559046E-03 7.19304412E-05
6.81575430E-02 3.16566149E-03 7.20531450E-05
6.94937449E-02 3.18370001E-03 7.49304671E-05
7.08299339E-02 3.33033646E-03 7.38298378E-05
7.21661098E-02 3.18078683E-03 7.54589171E-05
7.35022724E-02 3.14136682E-03 7.51840558E-05
7.48384215E-02 3.29328940E-03 7.48228106E-05
7.61745566E-02 3.23767725E-03 6.98617577E-05
7.75106778E-02 3.25573436E-03 6.93977174E-05
7.88467845E-02 3.14235040E-03 6.75679853E-05
8.01828767E-02 3.17940307E-03 7.36728055E-05
8.15189541E-02 3.17048831E-03 6.88390383E-05
8.28550165E-02 3.42644618E-03 7.30825121E-05
8.41910635E-02 3.26794958E-03 6.67007167E-05
8.55270949E-02 3.18728672E-03 6.98038479E-05
8.68631106E-02 3.16582566E-03 7.32263472E-05
8.81991102E-02 3.03224176E-03 6.81561129E-05
8.95350935E-02 3.19312509E-03 7.09488204E-05
9.08710603E-02 3.23319264E-03 6.89248683E-05
9.22070102E-02 3.26225070E-03 6.96855689E-05
9.35429432E-02 3.12219273E-03 7.04768092E-05
9.48788588E-02 3.14775667E-03 7.23034091E-05
9.62147569E-02 3.04738238E-03 6.53494188E-05
9.75506373E-02 3.07169915E-03 7.46637584E-05
9.88864996E-02 3.25454811E-03 7.14779211E-05
1.00222344E-01 3.05499191E-03 6.66028848E-05
1.01558169E-01 3.03519235E-03 6.55723635E-05
1.02893976E-01 3.09799959E-03 6.87717219E-05
1.04229764E-01 3.21718099E-03 6.75428856E-05
1.05565532E-01 3.17622274E-03 6.58697806E-05
1.06901281E-01 3.25947337E-03 6.67557095E-05
1.08237011E-01 3.08937352E-03 6.09138195E-05
1.09572720E-01 3.17227902E-03 5.89999740E-05
1.10908409E-01 3.16942453E-03 6.33769023E-05
1.12244077E-01 3.00789423E-03 5.93920628E-05
1.13579725E-01 3.11517714E-03 6.20130172E-05
1.14915352E-01 3.16526369E-03 6.07778425E-05
1.16250958E-01 3.11134177E-03 6.01231947E-05
1.17586542E-01 3.13614791E-03 5.93626385E-05
1.18922104E-01 3.06513509E-03 5.72068443E-05
1.20257645E-01 2.99027309E-03 5.86508656E-05
1.21593163E-01 3.22918505E-03 5.80584539E-05
1.22928659E-01 3.14618298E-03 5.71677314E-05
1.24264132E-01 3.12509513E-03 5.55097473E-05
1.25599582E-01 3.05620062E-03 5.33444876E-05
1.26935009E-01 3.16030672E-03 5.68600225E-05
1.28270412E-01 3.10517624E-03 5.27070327E-05
1.29605792E-01 3.02151281E-03 5.27128234E-05
1.30941148E-01 3.21832554E-03 5.58270523E-05
1.32276480E-01 3.14007658E-03 5.66353200E-05
1.33611787E-01 3.13444418E-03 5.50881525E-05
1.34947070E-01 3.11498808E-03 5.26249671E-05
1.36282327E-01 3.18592619E-03 5.11704701E-05
1.37617560E-01 3.16153167E-03 5.29139670E-05
1.38952767E-01 3.03660177E-03 5.30578371E-05
1.40287948E-01 3.05958934E-03 5.22731048E-05
1.41623104E-01 3.08409846E-03 5.03910037E-05
1.42958234E-01 3.15097856E-03 5.02367094E-05
1.44293337E-01 3.07711767E-03 4.92369021E-05
1.45628413E-01 3.13415231E-03 5.07283451E-05
1.46963463E-01 3.04068297E-03 4.86138812E-05
1.48298485E-01 3.16762813E-03 4.99717716E-05
1.49633480E-01 3.06804582E-03 4.76660767E-05
1.50968447E-01 3.09464405E-03 5.21878561E-05
1.52303387E-01 3.14687351E-03 4.94725899E-05
1.53638298E-01 3.09929983E-03 4.95496661E-05
1.54973182E-01 3.13523028E-03 4.87464001E-05
1.56308036E-01 3.03357574E-03 4.90855212E-05
1.57642862E-01 3.08597203E-03 4.57264084E-05
1.58977658E-01 3.13650734E-03 4.71940999E-05
1.60312426E-01 3.06924924E-03 4.78338911E-05
1.61647163E-01 3.13266129E-03 4.55983420E-05
1.62981871E-01 3.02309871E-03 4.53759654E-05
1.64316549E-01 3.11575928E-03 4.68010594E-05
1.65651196E-01 3.11122473E-03 4.75405411E-05
1.66985813E-01 3.06933334E-03 4.65407802E-05
1.68320399E-01 3.10462997E-03 4.56633640E-05
1.69654954E-01 3.22592257E-03 4.71148125E-05
1.70989478E-01 3.04600490E-03 4.57773391E-05
1.72323970E-01 3.05640184E-03 4.57146576E-05
1.73658431E-01 3.10251518E-03 4.47360184E-05
1.74992859E-01 3.01213549E-03 4.44979675E-05
1.76327255E-01 3.13407064E-03 4.55814596E-05
1.77661619E-01 3.06607984E-03 4.48946204E-05
1.78995950E-01 3.10261790E-03 4.50852765E-05
1.80330247E-01 3.16709499E-03 4.52982999E-05
1.81664512E-01 2.98854444E-03 4.29008855E-05
1.82998743E-01 3.13554392E-03 4.63334116E-05
1.84332940E-01 3.11559626E-03 4.55024255E-05
1.85667104E-01 3.11696656E-03 4.60381210E-05
1.87001233E-01 3.09678014E-03 4.50380472E-05
1.88335327E-01 3.11596496E-03 4.64187614E-05
1.89669387E-01 3.13565682E-03 4.53431041E-05
1.91003412E-01 3.04551020E-03 4.68268809E-05
1.92337402E-01 3.15003475E-03 4.52871478E-05
1.93671356E-01 3.05406927E-03 4.49554300E-05
1.95005275E-01 3.08147054E-03 4.67313157E-05
1.96339157E-01 3.16168356E-03 4.64986807E-05
1.97673004E-01 3.14100598E-03 4.69254843E-05
1.99006814E-01 3.16707383E-03 4.54502486E-05
2.00340587E-01 3.04728464E-03 4.46991542E-05
2.01674324E-01 3.11356638E-03 4.56426010E-05
2.03008023E-01 3.10036140E-03 4.36468443E-05
2.04341685E-01 3.13910569E-03 4.62477860E-05
2.05675309E-01 2.98957269E-03 4.45684926E-05
2.07008895E-01 3.07064953E-03 4.33440223E-05
2.08342443E-01 3.11978648E-03 4.60859446E-05
2.09675953E-01 3.10232564E-03 4.70200035E-05
2.11009424E-01 3.04111848E-03 4.50851416E-05
2.12342856E-01 3.12986771E-03 4.52689765E-05
2.13676249E-01 3.08240013E-03 4.50117265E-05
2.15009603E-01 3.04492013E-03 4.28426319E-05
2.16342917E-01 3.07786235E-03 4.33765162E-05
