### DATA:

         Q               I              Error
430
1.06922151E-02 3.27962897E-02 2.48405152E-03
1.20287357E-02 2.77443941E-02 1.77751963E-03
1.33652541E-02 2.15853200E-02 6.97209457E-04
1.47017700E-02 2.00656473E-02 4.82702826E-04
1.60382831E-02 1.78890617E-02 3.97311032E-04
1.73747933E-02 1.77826340E-02 3.19894230E-04
1.87113003E-02 1.66855219E-02 3.70463937E-04
2.00478039E-02 1.61160086E-02 3.06672507E-04
2.13843037E-02 1.63520913E-02 3.10050034E-04
2.27207996E-02 1.58792883E-02 3.07527862E-04
2.40572913E-02 1.56140450E-02 2.45804047E-04
2.53937785E-02 1.54462928E-02 2.67515097E-04
2.67302610E-02 1.48845446E-02 2.47215042E-04
2.80667386E-02 1.52429126E-02 2.37966765E-04
2.94032110E-02 1.54641921E-02 2.57508825E-04
3.07396780E-02 1.49184700E-02 2.31825986E-04
3.20761393E-02 1.48364190E-02 2.37717793E-04
3.34125946E-02 1.46845020E-02 2.12618984E-04
3.47490438E-02 1.42409383E-02 1.94045645E-04
3.60854865E-02 1.43105478E-02 2.10021772E-04
3.74219226E-02 1.42889265E-02 1.83950255E-04
3.87583518E-02 1.42653984E-02 1.98638019E-04
4.00947738E-02 1.42236525E-02 1.92504087E-04
4.14311883E-02 1.37655183E-02 1.81805349E-04
4.27675953E-02 1.36655137E-02 1.98929192E-04
4.41039943E-02 1.39555669E-02 1.80194433E-04
4.54403851E-02 1.38729160E-02 1.77593893E-04
4.67767676E-02 1.36312577E-02 1.87572531E-04
4.81131414E-02 1.34688364E-02 1.73982181E-04
4.94495063E-02 1.33825609E-02 1.63586836E-04
5.07858621E-02 1.33324244E-02 1.62716068E-04
5.21222085E-02 1.37132993E-02 1.59764651E-04
5.34585452E-02 1.31559671E-02 1.66608957E-04
5.47948721E-02 1.33560124E-02 1.65151585E-04
5.61311889E-02 1.28421130E-02 1.63853112E-04
5.74674952E-02 1.29008259E-02 1.56835780E-04
5.88037910E-02 1.27296418E-02 1.45027567E-04
6.01400758E-02 1.25688462E-02 1.47553353E-04
6.14763496E-02 1.26888205E-02 1.46201497E-04
6.28126120E-02 1.23273823E-02 1.56432600E-04
6.41488628E-02 1.23248951E-02 1.35336625E-04
6.54851017E-02 1.21673635E-02 1.39321668E-04
6.68213285E-02 1.19262771E-02 1.34230228E-04
6.81575430E-02 1.16705256E-02 1.38173304E-04
6.94937449E-02 1.17213000E-02 1.35394591E-04
7.08299339E-02 1.16155796E-02 1.41669766E-04
7.21661098E-02 1.14601730E-02 1.37944232E-04
7.35022724E-02 1.12100633E-02 1.30701155E-04
7.48384215E-02 1.12030144E-02 1.35414935E-04
7.61745566E-02 1.10390703E-02 1.38892614E-04
7.75106778E-02 1.10956864E-02 1.34432337E-04
7.88467845E-02 1.09188311E-02 1.29403056E-04
8.01828767E-02 1.08798142E-02 1.41222190E-04
8.15189541E-02 1.07308168E-02 1.38541293E-04
8.28550165E-02 1.06131025E-02 1.35807565E-04
8.41910635E-02 1.02990591E-02 1.36311312E-04
8.55270949E-02 1.01777191E-02 1.25824335E-04
8.68631106E-02 1.02587587E-02 1.22553654E-04
8.81991102E-02 1.00289802E-02 1.25044850E-04
8.95350935E-02 1.00577241E-02 1.22994253E-04
9.08710603E-02 9.64707050E-03 1.18639773E-04
9.22070102E-02 9.79604768E-03 1.20455440E-04
9.35429432E-02 9.46046340E-03 1.23067127E-04
9.48788588E-02 9.34889622E-03 1.18094077E-04
9.62147569E-02 9.26121870E-03 1.19289929E-04
9.75506373E-02 9.01594904E-03 1.09220155E-04
9.88864996E-02 9.04646899E-03 1.09575348E-04
1.00222344E-01 8.93156195E-03 1.13460249E-04
1.01558169E-01 8.83577494E-03 1.23298867E-04
1.02893976E-01 8.60092712E-03 1.05198314E-04
1.04229764E-01 8.46709485E-03 1.10685214E-04
1.05565532E-01 8.31732988E-03 9.57312961E-05
1.06901281E-01 8.25594558E-03 1.07613281E-04
1.08237011E-01 8.34391357E-03 9.89647508E-05
1.09572720E-01 8.20638674E-03 9.68075126E-05
1.10908409E-01 7.93643835E-03 9.96391459E-05
1.12244077E-01 7.70270605E-03 9.28206699E-05
1.13579725E-01 7.62057714E-03 9.22434871E-05
1.14915352E-01 7.53288173E-03 9.29049534E-05
1.16250958E-01 7.44994839E-03 9.18517385E-05
1.17586542E-01 7.39924944E-03 8.73293619E-05
1.18922104E-01 7.43776423E-03 8.48281779E-05
1.20257645E-01 7.32148227E-03 8.56070664E-05
1.21593163E-01 7.11095959E-03 8.05629914E-05
1.22928659E-01 7.08859752E-03 8.24220448E-05
1.24264132E-01 6.92566536E-03 7.88324309E-05
1.25599582E-01 6.79786133E-03 7.91138867E-05
1.26935009E-01 6.77756666E-03 8.15894784E-05
1.28270412E-01 6.51672460E-03 7.44902365E-05
1.29605792E-01 6.44060110E-03 7.68774730E-05
1.30941148E-01 6.53302806E-03 7.29955183E-05
1.32276480E-01 6.38154013E-03 8.08336488E-05
1.33611787E-01 6.50487675E-03 7.96340962E-05
1.34947070E-01 6.07474999E-03 7.56037826E-05
1.36282327E-01 6.02930178E-03 7.18457373E-05
1.37617560E-01 5.97916187E-03 6.94540615E-05
1.38952767E-01 5.88621018E-03 7.25077110E-05
1.40287948E-01 5.95432277E-03 7.13577132E-05
1.41623104E-01 5.82288463E-03 6.80968370E-05
1.42958234E-01 5.66599860E-03 6.81246979E-05
1.44293337E-01 5.69036481E-03 6.84867801E-05
1.45628413E-01 5.49982165E-03 6.62267209E-05
1.46963463E-01 5.47338109E-03 6.75760088E-05
1.48298485E-01 5.32752140E-03 6.78063601E-05
1.49633480E-01 5.41009073E-03 6.30012582E-05
1.50968447E-01 5.17046582E-03 6.58011667E-05
1.52303387E-01 5.19232349E-03 6.20621550E-05
1.53638298E-01 5.17658620E-03 6.28816924E-05
1.54973182E-01 5.11485210E-03 5.77887572E-05
1.56308036E-01 5.07748021E-03 5.81743302E-05
1.57642862E-01 4.98497930E-03 6.17426505E-05
1.58977658E-01 4.96045809E-03 6.23395692E-05
1.60312426E-01 4.84812183E-03 5.72517116E-05
1.61647163E-01 4.68791612E-03 5.81242256E-05
1.62981871E-01 4.71872749E-03 5.77439662E-05
1.64316549E-01 4.73703186E-03 5.58315970E-05
1.65651196E-01 4.56082763E-03 5.37721225E-05
1.66985813E-01 4.42777925E-03 5.79613869E-05
1.68320399E-01 4.42404005E-03 5.27078038E-05
1.69654954E-01 4.52184792E-03 5.27252852E-05
1.70989478E-01 4.39008218E-03 5.68991483E-05
1.72323970E-01 4.42254709E-03 5.46244068E-05
1.73658431E-01 4.29395085E-03 5.31083140E-05
1.74992859E-01 4.26091081E-03 5.35184850E-05
1.76327255E-01 4.23022604E-03 5.28899368E-05
1.77661619E-01 4.13673376E-03 5.42729886E-05
1.78995950E-01 4.24103377E-03 5.26081956E-05
1.80330247E-01 4.05972569E-03 4.98519268E-05
1.81664512E-01 4.03013316E-03 5.19992348E-05
