# DAMMIF/N results summary
# Input file: lys_8.out
# Output prefix: lys_8
# Output directory: /home/sbio/norm/temp/lys_8/clust_only
# Program used: DAMMIF
# Mode: Slow
# Symmetry: P1
# Anisometry: Unknown
# Total number of reconstructions: 20
# Used DAMAVER: False
# Refined with DAMMIN: False
# Used DAMCLUST: True

# AMBIMETER results
# Compatible shape categories: 5
# Ambiguity score: 0.6990
# AMBIMETER says:  3D reconstruction is potentially unique

# Clustering results
# Number of clusters: 3
# Cluster,Isolated,Rep_Model,Deviation
1,Y,lys_8_06-1.pdb,
2,N,lys_8_17-1.pdb,0.54645774135087177
3,N,lys_8_09-1.pdb,0.55271163798583800

#Cluster1,Cluster2,Distance
1,2,0.73155821423882128
1,3,0.68826272215609241
2,3,0.74965721147451347

# Individual model results
# Model,Chi^2,Rg,Dmax,Excluded_Vol,Est_Protein_MW,Mean_NSD
1,1.539,14.69,48.9,20000.0,12.05,
2,1.540,14.693,48.8,19900.0,11.99,
3,1.536,14.692,48.4,19900.0,11.99,
4,1.541,14.696,48.4,19900.0,11.99,
5,1.540,14.696,49.6,19900.0,11.99,
6,1.538,14.692,48.5,19900.0,11.99,
7,1.542,14.693,48.1,20000.0,12.05,
8,1.537,14.693,49.6,19900.0,11.99,
9,1.538,14.691,48.9,19900.0,11.99,
10,1.535,14.691,48.9,19900.0,11.99,
11,1.538,14.693,49.5,19900.0,11.99,
12,1.538,14.69,49.0,20000.0,12.05,
13,1.537,14.694,48.4,20000.0,12.05,
14,1.539,14.692,48.7,19900.0,11.99,
15,1.536,14.692,49.5,20000.0,12.05,
16,1.540,14.69,49.6,19900.0,11.99,
17,1.540,14.696,49.1,20000.0,12.05,
18,1.537,14.692,49.0,20000.0,12.05,
19,1.539,14.694,48.6,19900.0,11.99,
20,1.536,14.689,48.1,20000.0,12.05,
