          NSD  Filename
        0.000  lys_8_01-1.pdb
        0.548  lys_8_09-1r.pdb
        0.501  lys_8_12-1r.pdb
        0.586  lys_8_19-1r.pdb
        0.522  lys_8_14-1r.pdb
        0.581  lys_8_11-1r.pdb
        0.555  lys_8_05-1r.pdb
        0.531  lys_8_06-1r.pdb
        0.526  lys_8_16-1r.pdb
        0.636  lys_8_07-1r.pdb
        0.555  lys_8_20-1r.pdb
        0.598  lys_8_17-1r.pdb
        0.554  lys_8_04-1r.pdb
        0.630  lys_8_10-1r.pdb
        0.641  lys_8_15-1r.pdb
        0.623  lys_8_18-1r.pdb
        0.657  lys_8_02-1r.pdb
        0.599  lys_8_03-1r.pdb
        0.646  lys_8_08-1r.pdb
