          NSD  Filename
        0.000  lys_8_15-1.pdb
        0.519  lys_8_10-1r.pdb
        0.470  lys_8_03-1r.pdb
        0.540  lys_8_17-1r.pdb
        0.551  lys_8_08-1r.pdb
        0.543  lys_8_20-1r.pdb
        0.632  lys_8_12-1r.pdb
        0.559  lys_8_05-1r.pdb
        0.564  lys_8_01-1r.pdb
        0.578  lys_8_04-1r.pdb
        0.570  lys_8_19-1r.pdb
        0.670  lys_8_02-1r.pdb
        0.614  lys_8_16-1r.pdb
        0.596  lys_8_13-1r.pdb
        0.681  lys_8_09-1r.pdb
        0.703  lys_8_14-1r.pdb
        0.599  lys_8_07-1r.pdb
        0.690  lys_8_18-1r.pdb
        0.685  lys_8_06-1r.pdb
        0.659  lys_8_11-1r.pdb
