# Chi2 Rg SupportVolume
4.70740e+03 3.31859e+01 2.29997e+06
4.10412e+03 4.06947e+01 2.29997e+06
4.02619e+03 4.41314e+01 2.29997e+06
3.95186e+03 4.63913e+01 2.29997e+06
3.88245e+03 4.75021e+01 2.29997e+06
3.81514e+03 4.77802e+01 2.29997e+06
3.75168e+03 4.80214e+01 2.29997e+06
3.68987e+03 4.82267e+01 2.29997e+06
3.62869e+03 4.82425e+01 2.29997e+06
3.56828e+03 4.82215e+01 2.29997e+06
3.50897e+03 4.82138e+01 2.29997e+06
3.45029e+03 4.81739e+01 2.29997e+06
3.39280e+03 4.80460e+01 2.29997e+06
3.33641e+03 4.78066e+01 2.29997e+06
3.28134e+03 4.76489e+01 2.29997e+06
3.22709e+03 4.75557e+01 2.29997e+06
3.17259e+03 4.74388e+01 2.29997e+06
3.11857e+03 4.73726e+01 2.29997e+06
3.06626e+03 4.72191e+01 2.29997e+06
3.01457e+03 4.70401e+01 2.29997e+06
2.96264e+03 4.68519e+01 2.29997e+06
2.91113e+03 4.66493e+01 2.29997e+06
2.86094e+03 4.65213e+01 2.29997e+06
2.81177e+03 4.65172e+01 2.29997e+06
2.76333e+03 4.65823e+01 2.29997e+06
2.71603e+03 4.66044e+01 2.29997e+06
2.66985e+03 4.65935e+01 2.29997e+06
2.62460e+03 4.65860e+01 2.29997e+06
2.58051e+03 4.65864e+01 2.29997e+06
2.53737e+03 4.66222e+01 2.29997e+06
2.49540e+03 4.66720e+01 2.29997e+06
2.45434e+03 4.67055e+01 2.29997e+06
2.41481e+03 4.66900e+01 2.29997e+06
2.37599e+03 4.66644e+01 2.29997e+06
2.33802e+03 4.66367e+01 2.29997e+06
2.30094e+03 4.65993e+01 2.29997e+06
2.26497e+03 4.65606e+01 2.29997e+06
2.22959e+03 4.65147e+01 2.29997e+06
2.19482e+03 4.64854e+01 2.29997e+06
2.16069e+03 4.65003e+01 2.29997e+06
2.12721e+03 4.65213e+01 2.29997e+06
2.09394e+03 4.65551e+01 2.29997e+06
2.06188e+03 4.65916e+01 2.29997e+06
2.03057e+03 4.66505e+01 2.29997e+06
1.99981e+03 4.67141e+01 2.29997e+06
1.96948e+03 4.67878e+01 2.29997e+06
1.93917e+03 4.68631e+01 2.29997e+06
1.90926e+03 4.69498e+01 2.29997e+06
1.87983e+03 4.70413e+01 2.29997e+06
1.85094e+03 4.71284e+01 2.29997e+06
1.82246e+03 4.72139e+01 2.29997e+06
1.79487e+03 4.72919e+01 2.29997e+06
1.76791e+03 4.73647e+01 2.29997e+06
1.74127e+03 4.74381e+01 2.29997e+06
1.71510e+03 4.75014e+01 2.29997e+06
1.68973e+03 4.75582e+01 2.29997e+06
1.66515e+03 4.76109e+01 2.29997e+06
1.64116e+03 4.76647e+01 2.29997e+06
1.61835e+03 4.77139e+01 2.29997e+06
1.59616e+03 4.77738e+01 2.29997e+06
1.57460e+03 4.78346e+01 2.29997e+06
1.55342e+03 4.78967e+01 2.29997e+06
1.53236e+03 4.79569e+01 2.29997e+06
1.51145e+03 4.80152e+01 2.29997e+06
1.49088e+03 4.80689e+01 2.29997e+06
1.47087e+03 4.81138e+01 2.29997e+06
1.45119e+03 4.81525e+01 2.29997e+06
1.43193e+03 4.81867e+01 2.29997e+06
1.41301e+03 4.82113e+01 2.29997e+06
1.39425e+03 4.82347e+01 2.29997e+06
1.37567e+03 4.82562e+01 2.29997e+06
1.35725e+03 4.82764e+01 2.29997e+06
1.33898e+03 4.82956e+01 2.29997e+06
1.32090e+03 4.83172e+01 2.29997e+06
1.30330e+03 4.83418e+01 2.29997e+06
1.28580e+03 4.83672e+01 2.29997e+06
1.26842e+03 4.83969e+01 2.29997e+06
1.25121e+03 4.84335e+01 2.29997e+06
1.23424e+03 4.84710e+01 2.29997e+06
1.21767e+03 4.85060e+01 2.29997e+06
1.20126e+03 4.85385e+01 2.29997e+06
1.18496e+03 4.85689e+01 2.29997e+06
1.16889e+03 4.85969e+01 2.29997e+06
1.15343e+03 4.86278e+01 2.29997e+06
1.13828e+03 4.86604e+01 2.29997e+06
1.12361e+03 4.86882e+01 2.29997e+06
1.10924e+03 4.87123e+01 2.29997e+06
1.09494e+03 4.87361e+01 2.29997e+06
1.08079e+03 4.87574e+01 2.29997e+06
1.06682e+03 4.87764e+01 2.29997e+06
1.05333e+03 4.87942e+01 2.29997e+06
1.04020e+03 4.88143e+01 2.29997e+06
1.02733e+03 4.88323e+01 2.29997e+06
1.01478e+03 4.88513e+01 2.29997e+06
1.00239e+03 4.88702e+01 2.29997e+06
9.90218e+02 4.88931e+01 2.29997e+06
9.78363e+02 4.89171e+01 2.29997e+06
9.66834e+02 4.89391e+01 2.29997e+06
9.55425e+02 4.89600e+01 2.29997e+06
9.44046e+02 4.89809e+01 2.29997e+06
9.32763e+02 4.90028e+01 2.29997e+06
9.21658e+02 4.90277e+01 2.29997e+06
9.10751e+02 4.90562e+01 2.29997e+06
9.00064e+02 4.90849e+01 2.29997e+06
8.89639e+02 4.91115e+01 2.29997e+06
8.79257e+02 4.91379e+01 2.29997e+06
8.69003e+02 4.91623e+01 2.29997e+06
8.58918e+02 4.91840e+01 2.29997e+06
8.48924e+02 4.92044e+01 2.29997e+06
8.38983e+02 4.92248e+01 2.29997e+06
8.29182e+02 4.92476e+01 2.29997e+06
8.19599e+02 4.92712e+01 2.29997e+06
8.10121e+02 4.92948e+01 2.29997e+06
8.00849e+02 4.93211e+01 2.29997e+06
7.91728e+02 4.93470e+01 2.29997e+06
7.82698e+02 4.93721e+01 2.29997e+06
7.73930e+02 4.93980e+01 2.29997e+06
7.65206e+02 4.94237e+01 2.29997e+06
7.56521e+02 4.94493e+01 2.29997e+06
7.47875e+02 4.94748e+01 2.29997e+06
7.39387e+02 4.95011e+01 2.29997e+06
7.30942e+02 4.95273e+01 2.29997e+06
7.22536e+02 4.95533e+01 2.29997e+06
7.14169e+02 4.95793e+01 2.29997e+06
7.05946e+02 4.96025e+01 2.29997e+06
6.97779e+02 4.96255e+01 2.29997e+06
6.89716e+02 4.96476e+01 2.29997e+06
6.82053e+02 4.96689e+01 2.29997e+06
6.74541e+02 4.96899e+01 2.29997e+06
6.67151e+02 4.97098e+01 2.29997e+06
6.59872e+02 4.97280e+01 2.29997e+06
6.52744e+02 4.97436e+01 2.29997e+06
6.45739e+02 4.97578e+01 2.29997e+06
6.38771e+02 4.97719e+01 2.29997e+06
6.31853e+02 4.97854e+01 2.29997e+06
6.24989e+02 4.97981e+01 2.29997e+06
6.18162e+02 4.98107e+01 2.29997e+06
6.11372e+02 4.98233e+01 2.29997e+06
6.04619e+02 4.98359e+01 2.29997e+06
5.97905e+02 4.98484e+01 2.29997e+06
5.91327e+02 4.98627e+01 2.29997e+06
5.84796e+02 4.98771e+01 2.29997e+06
5.78332e+02 4.98916e+01 2.29997e+06
5.71959e+02 4.99063e+01 2.29997e+06
5.65677e+02 4.99213e+01 2.29997e+06
5.59505e+02 4.99355e+01 2.29997e+06
5.53375e+02 4.99496e+01 2.29997e+06
5.47342e+02 4.99630e+01 2.29997e+06
5.41531e+02 4.99749e+01 2.29997e+06
5.35849e+02 4.99874e+01 2.29997e+06
5.30206e+02 4.99997e+01 2.29997e+06
5.24599e+02 5.00119e+01 2.29997e+06
5.19027e+02 5.00241e+01 2.29997e+06
5.13536e+02 5.00359e+01 2.29997e+06
5.08157e+02 5.00466e+01 2.29997e+06
5.02923e+02 5.00564e+01 2.29997e+06
4.97745e+02 5.00663e+01 2.29997e+06
4.92605e+02 5.00768e+01 2.29997e+06
4.87496e+02 5.00871e+01 2.29997e+06
4.82418e+02 5.00975e+01 2.29997e+06
4.77373e+02 5.01078e+01 2.29997e+06
4.72359e+02 5.01181e+01 2.29997e+06
4.67411e+02 5.01284e+01 2.29997e+06
4.62572e+02 5.01390e+01 2.29997e+06
4.57767e+02 5.01496e+01 2.29997e+06
4.52994e+02 5.01601e+01 2.29997e+06
4.48275e+02 5.01708e+01 2.29997e+06
4.43633e+02 5.01821e+01 2.29997e+06
4.39024e+02 5.01933e+01 2.29997e+06
4.34446e+02 5.02044e+01 2.29997e+06
4.29947e+02 5.02157e+01 2.29997e+06
4.25501e+02 5.02265e+01 2.29997e+06
4.21220e+02 5.02364e+01 2.29997e+06
4.17085e+02 5.02455e+01 2.29997e+06
4.12983e+02 5.02546e+01 2.29997e+06
4.08914e+02 5.02634e+01 2.29997e+06
4.04874e+02 5.02721e+01 2.29997e+06
4.00899e+02 5.02801e+01 2.29997e+06
3.96977e+02 5.02874e+01 2.29997e+06
3.93105e+02 5.02950e+01 2.29997e+06
3.89312e+02 5.03032e+01 2.29997e+06
3.85544e+02 5.03114e+01 2.29997e+06
3.81835e+02 5.03203e+01 2.29997e+06
3.78195e+02 5.03300e+01 2.29997e+06
3.74582e+02 5.03396e+01 2.29997e+06
3.70995e+02 5.03492e+01 2.29997e+06
3.67432e+02 5.03588e+01 2.29997e+06
3.63894e+02 5.03683e+01 2.29997e+06
3.60380e+02 5.03778e+01 2.29997e+06
3.56891e+02 5.03872e+01 2.29997e+06
3.53425e+02 5.03966e+01 2.29997e+06
3.49984e+02 5.04060e+01 2.29997e+06
3.46566e+02 5.04153e+01 2.29997e+06
3.43231e+02 5.04258e+01 2.29997e+06
3.39926e+02 5.04363e+01 2.29997e+06
3.36645e+02 5.04467e+01 2.29997e+06
3.33396e+02 5.04568e+01 2.29997e+06
3.30217e+02 5.04658e+01 2.29997e+06
3.27060e+02 5.04747e+01 2.29997e+06
3.23925e+02 5.04835e+01 2.29997e+06
3.20863e+02 5.04923e+01 2.29997e+06
3.17946e+02 5.05010e+01 2.29997e+06
3.15117e+02 5.05094e+01 2.29997e+06
3.12307e+02 5.05179e+01 2.29997e+06
3.09516e+02 5.05263e+01 2.29997e+06
3.06744e+02 5.05347e+01 2.29997e+06
3.03990e+02 5.05430e+01 2.29997e+06
3.01310e+02 5.05503e+01 2.29997e+06
2.98659e+02 5.05574e+01 2.29997e+06
2.96031e+02 5.05646e+01 2.29997e+06
2.93467e+02 5.05726e+01 2.29997e+06
2.90920e+02 5.05807e+01 2.29997e+06
2.88390e+02 5.05887e+01 2.29997e+06
2.85878e+02 5.05967e+01 2.29997e+06
2.83382e+02 5.06046e+01 2.29997e+06
2.80919e+02 5.06123e+01 2.29997e+06
2.78504e+02 5.06196e+01 2.29997e+06
2.76166e+02 5.06291e+01 2.29997e+06
2.73845e+02 5.06387e+01 2.29997e+06
2.71540e+02 5.06482e+01 2.29997e+06
2.69250e+02 5.06577e+01 2.29997e+06
2.66974e+02 5.06671e+01 2.29997e+06
2.64713e+02 5.06766e+01 2.29997e+06
2.62497e+02 5.06853e+01 2.29997e+06
2.60329e+02 5.06932e+01 2.29997e+06
2.58176e+02 5.07011e+01 2.29997e+06
2.56037e+02 5.07090e+01 2.29997e+06
2.53913e+02 5.07168e+01 2.29997e+06
2.51803e+02 5.07247e+01 2.29997e+06
2.49706e+02 5.07325e+01 2.29997e+06
2.47624e+02 5.07403e+01 2.29997e+06
2.45556e+02 5.07481e+01 2.29997e+06
2.43501e+02 5.07559e+01 2.29997e+06
2.41465e+02 5.07639e+01 2.29997e+06
2.39450e+02 5.07724e+01 2.29997e+06
2.37448e+02 5.07809e+01 2.29997e+06
2.35459e+02 5.07894e+01 2.29997e+06
2.33483e+02 5.07979e+01 2.29997e+06
2.31521e+02 5.08064e+01 2.29997e+06
2.29571e+02 5.08148e+01 2.29997e+06
2.27635e+02 5.08232e+01 2.29997e+06
2.25713e+02 5.08316e+01 2.29997e+06
2.23803e+02 5.08399e+01 2.29997e+06
2.21916e+02 5.08485e+01 2.29997e+06
2.20095e+02 5.08573e+01 2.29997e+06
2.18336e+02 5.08652e+01 2.29997e+06
2.16631e+02 5.08724e+01 2.29997e+06
2.14988e+02 5.08793e+01 2.29997e+06
2.13356e+02 5.08862e+01 2.29997e+06
2.11737e+02 5.08930e+01 2.29997e+06
2.10130e+02 5.08997e+01 2.29997e+06
2.08533e+02 5.09065e+01 2.29997e+06
2.06946e+02 5.09132e+01 2.29997e+06
2.05369e+02 5.09199e+01 2.29997e+06
2.03803e+02 5.09266e+01 2.29997e+06
2.02247e+02 5.09333e+01 2.29997e+06
2.00701e+02 5.09400e+01 2.29997e+06
1.99165e+02 5.09467e+01 2.29997e+06
1.97639e+02 5.09534e+01 2.29997e+06
1.96123e+02 5.09600e+01 2.29997e+06
1.94617e+02 5.09667e+01 2.29997e+06
1.93120e+02 5.09733e+01 2.29997e+06
1.91636e+02 5.09798e+01 2.29997e+06
1.90165e+02 5.09861e+01 2.29997e+06
1.88706e+02 5.09924e+01 2.29997e+06
1.87257e+02 5.09986e+01 2.29997e+06
1.85867e+02 5.10040e+01 2.29997e+06
1.84511e+02 5.10089e+01 2.29997e+06
1.83164e+02 5.10138e+01 2.29997e+06
1.81826e+02 5.10186e+01 2.29997e+06
1.80498e+02 5.10235e+01 2.29997e+06
1.79211e+02 5.10286e+01 2.29997e+06
1.77943e+02 5.10338e+01 2.29997e+06
1.76683e+02 5.10389e+01 2.29997e+06
1.75432e+02 5.10441e+01 2.29997e+06
1.74188e+02 5.10492e+01 2.29997e+06
1.72952e+02 5.10543e+01 2.29997e+06
1.71724e+02 5.10595e+01 2.29997e+06
1.70504e+02 5.10646e+01 2.29997e+06
1.69292e+02 5.10697e+01 2.29997e+06
1.68087e+02 5.10748e+01 2.29997e+06
1.66905e+02 5.10802e+01 2.29997e+06
1.65762e+02 5.10860e+01 2.29997e+06
1.64667e+02 5.10923e+01 2.29997e+06
1.63579e+02 5.10985e+01 2.29997e+06
1.62498e+02 5.11047e+01 2.29997e+06
1.61425e+02 5.11108e+01 2.29997e+06
1.60362e+02 5.11168e+01 2.29997e+06
1.59306e+02 5.11227e+01 2.29997e+06
1.58257e+02 5.11287e+01 2.29997e+06
1.57215e+02 5.11346e+01 2.29997e+06
1.56179e+02 5.11406e+01 2.29997e+06
1.55149e+02 5.11465e+01 2.29997e+06
1.54127e+02 5.11525e+01 2.29997e+06
1.53110e+02 5.11584e+01 2.29997e+06
1.52101e+02 5.11644e+01 2.29997e+06
1.51097e+02 5.11703e+01 2.29997e+06
1.50101e+02 5.11763e+01 2.29997e+06
1.49110e+02 5.11823e+01 2.29997e+06
1.48126e+02 5.11882e+01 2.29997e+06
1.47148e+02 5.11942e+01 2.29997e+06
1.46176e+02 5.12001e+01 2.29997e+06
1.45214e+02 5.12059e+01 2.29997e+06
1.44276e+02 5.12111e+01 2.29997e+06
1.43371e+02 5.12165e+01 2.29997e+06
1.42486e+02 5.12221e+01 2.29997e+06
1.41607e+02 5.12277e+01 2.29997e+06
1.40733e+02 5.12332e+01 2.29997e+06
1.39864e+02 5.12388e+01 2.29997e+06
1.39001e+02 5.12444e+01 2.29997e+06
1.38143e+02 5.12500e+01 2.29997e+06
1.37290e+02 5.12556e+01 2.29997e+06
1.36443e+02 5.12612e+01 2.29997e+06
1.35611e+02 5.12671e+01 2.29997e+06
1.34800e+02 5.12733e+01 2.29997e+06
1.33995e+02 5.12796e+01 2.29997e+06
1.33194e+02 5.12859e+01 2.29997e+06
1.32399e+02 5.12922e+01 2.29997e+06
1.31617e+02 5.12982e+01 2.29997e+06
1.30860e+02 5.13037e+01 2.29997e+06
1.30109e+02 5.13092e+01 2.29997e+06
1.29362e+02 5.13147e+01 2.29997e+06
1.28620e+02 5.13201e+01 2.29997e+06
1.27883e+02 5.13256e+01 2.29997e+06
1.27149e+02 5.13311e+01 2.29997e+06
1.26420e+02 5.13366e+01 2.29997e+06
1.25702e+02 5.13420e+01 2.29997e+06
1.25026e+02 5.13465e+01 2.29997e+06
1.24356e+02 5.13511e+01 2.29997e+06
1.23704e+02 5.13556e+01 2.29997e+06
1.23060e+02 5.13601e+01 2.29997e+06
1.22422e+02 5.13644e+01 2.29997e+06
1.21790e+02 5.13686e+01 2.29997e+06
1.21161e+02 5.13729e+01 2.29997e+06
1.20538e+02 5.13773e+01 2.29997e+06
1.19932e+02 5.13823e+01 2.29997e+06
1.19329e+02 5.13873e+01 2.29997e+06
1.18729e+02 5.13924e+01 2.29997e+06
1.18132e+02 5.13974e+01 2.29997e+06
1.17538e+02 5.14025e+01 2.29997e+06
1.16947e+02 5.14076e+01 2.29997e+06
1.16358e+02 5.14128e+01 2.29997e+06
1.15773e+02 5.14180e+01 2.29997e+06
1.15192e+02 5.14233e+01 2.29997e+06
1.14613e+02 5.14287e+01 2.29997e+06
1.14037e+02 5.14341e+01 2.29997e+06
1.13465e+02 5.14395e+01 2.29997e+06
1.12895e+02 5.14450e+01 2.29997e+06
1.12328e+02 5.14505e+01 2.29997e+06
1.11765e+02 5.14560e+01 2.29997e+06
1.11204e+02 5.14616e+01 2.29997e+06
1.10646e+02 5.14672e+01 2.29997e+06
1.10092e+02 5.14729e+01 2.29997e+06
1.09540e+02 5.14785e+01 2.29997e+06
1.08991e+02 5.14843e+01 2.29997e+06
1.08445e+02 5.14900e+01 2.29997e+06
1.07902e+02 5.14958e+01 2.29997e+06
1.07361e+02 5.15016e+01 2.29997e+06
1.06824e+02 5.15075e+01 2.29997e+06
1.06289e+02 5.15133e+01 2.29997e+06
1.05757e+02 5.15192e+01 2.29997e+06
1.05229e+02 5.15251e+01 2.29997e+06
1.04703e+02 5.15310e+01 2.29997e+06
1.04180e+02 5.15370e+01 2.29997e+06
1.03659e+02 5.15429e+01 2.29997e+06
1.03141e+02 5.15489e+01 2.29997e+06
1.02626e+02 5.15549e+01 2.29997e+06
1.02114e+02 5.15609e+01 2.29997e+06
1.01605e+02 5.15670e+01 2.29997e+06
1.01124e+02 5.15727e+01 2.29997e+06
1.00646e+02 5.15784e+01 2.29997e+06
1.00170e+02 5.15842e+01 2.29997e+06
9.97011e+01 5.15899e+01 2.29997e+06
9.92439e+01 5.15957e+01 2.29997e+06
9.87883e+01 5.16015e+01 2.29997e+06
9.83344e+01 5.16074e+01 2.29997e+06
9.78820e+01 5.16132e+01 2.29997e+06
9.74312e+01 5.16191e+01 2.29997e+06
9.69819e+01 5.16250e+01 2.29997e+06
9.65342e+01 5.16309e+01 2.29997e+06
9.60879e+01 5.16368e+01 2.29997e+06
9.56431e+01 5.16428e+01 2.29997e+06
9.51997e+01 5.16487e+01 2.29997e+06
9.47577e+01 5.16547e+01 2.29997e+06
9.43171e+01 5.16607e+01 2.29997e+06
9.38779e+01 5.16667e+01 2.29997e+06
9.34496e+01 5.16726e+01 2.29997e+06
9.30294e+01 5.16785e+01 2.29997e+06
9.26101e+01 5.16844e+01 2.29997e+06
9.21918e+01 5.16902e+01 2.29997e+06
9.17743e+01 5.16961e+01 2.29997e+06
9.13577e+01 5.17020e+01 2.29997e+06
9.09420e+01 5.17079e+01 2.29997e+06
9.05271e+01 5.17137e+01 2.29997e+06
9.01131e+01 5.17196e+01 2.29997e+06
8.96998e+01 5.17254e+01 2.29997e+06
8.92874e+01 5.17312e+01 2.29997e+06
8.88762e+01 5.17370e+01 2.29997e+06
8.84660e+01 5.17428e+01 2.29997e+06
8.80565e+01 5.17485e+01 2.29997e+06
8.76585e+01 5.17546e+01 2.29997e+06
8.72693e+01 5.17609e+01 2.29997e+06
8.68808e+01 5.17672e+01 2.29997e+06
8.64930e+01 5.17735e+01 2.29997e+06
