# Chi2 Rg SupportVolume
4.82438e+03 1.10207e+01 2.29997e+06
1.24411e+03 1.06801e+01 2.29997e+06
7.57059e+02 1.12434e+01 2.29997e+06
5.29504e+02 1.16974e+01 2.29997e+06
4.09253e+02 1.19837e+01 2.29997e+06
3.37515e+02 1.21170e+01 2.29997e+06
2.90555e+02 1.21851e+01 2.29997e+06
2.58199e+02 1.22314e+01 2.29997e+06
2.33969e+02 1.22558e+01 2.29997e+06
2.14744e+02 1.22735e+01 2.29997e+06
1.99058e+02 1.22891e+01 2.29997e+06
1.86361e+02 1.22950e+01 2.29997e+06
1.76171e+02 1.22835e+01 2.29997e+06
1.67457e+02 1.22715e+01 2.29997e+06
1.60121e+02 1.22636e+01 2.29997e+06
1.53670e+02 1.22587e+01 2.29997e+06
1.47793e+02 1.22503e+01 2.29997e+06
1.42421e+02 1.22572e+01 2.29997e+06
1.37537e+02 1.22722e+01 2.29997e+06
1.32958e+02 1.22922e+01 2.29997e+06
1.28667e+02 1.23204e+01 2.29997e+06
1.24713e+02 1.23586e+01 2.29997e+06
1.20897e+02 1.24007e+01 2.29997e+06
1.17320e+02 1.24390e+01 2.29997e+06
1.14017e+02 1.24744e+01 2.29997e+06
1.11018e+02 1.25090e+01 2.29997e+06
1.08121e+02 1.25475e+01 2.29997e+06
1.05285e+02 1.25876e+01 2.29997e+06
1.02576e+02 1.26297e+01 2.29997e+06
9.99600e+01 1.26725e+01 2.29997e+06
9.74539e+01 1.27140e+01 2.29997e+06
9.50626e+01 1.27563e+01 2.29997e+06
9.27847e+01 1.27976e+01 2.29997e+06
9.06062e+01 1.28398e+01 2.29997e+06
8.84723e+01 1.28821e+01 2.29997e+06
8.64130e+01 1.29236e+01 2.29997e+06
8.44282e+01 1.29645e+01 2.29997e+06
8.24915e+01 1.30064e+01 2.29997e+06
8.06054e+01 1.30475e+01 2.29997e+06
7.87610e+01 1.30875e+01 2.29997e+06
7.69832e+01 1.31273e+01 2.29997e+06
7.52690e+01 1.31665e+01 2.29997e+06
7.36127e+01 1.32059e+01 2.29997e+06
7.20111e+01 1.32449e+01 2.29997e+06
7.04447e+01 1.32845e+01 2.29997e+06
6.89346e+01 1.33224e+01 2.29997e+06
6.74692e+01 1.33594e+01 2.29997e+06
6.60479e+01 1.33951e+01 2.29997e+06
6.46738e+01 1.34298e+01 2.29997e+06
6.33529e+01 1.34633e+01 2.29997e+06
6.20691e+01 1.34963e+01 2.29997e+06
6.08462e+01 1.35295e+01 2.29997e+06
5.96834e+01 1.35630e+01 2.29997e+06
