### DATA:
#
# 430
#      Q             I(Q)           Error     
1.06922151E-02  2.17629752E-02  8.07264626E-04
1.20287357E-02  1.60671924E-02  5.49586688E-04
1.33652541E-02  1.05747891E-02  2.18992302E-04
1.47017700E-02  8.36081260E-03  1.31305888E-04
1.60382831E-02  6.83945077E-03  9.30443671E-05
1.73747933E-02  5.98129489E-03  7.34630573E-05
1.87113003E-02  5.59832947E-03  7.46821161E-05
2.00478039E-02  5.25201115E-03  7.17557211E-05
2.13843037E-02  5.08304730E-03  6.83333032E-05
2.27207996E-02  4.81476478E-03  6.05923614E-05
2.40572913E-02  4.63564691E-03  5.34937054E-05
2.53937785E-02  4.46684067E-03  4.96198880E-05
2.67302610E-02  4.23122241E-03  4.52628425E-05
2.80667386E-02  4.19475466E-03  4.28650836E-05
2.94032110E-02  4.00998439E-03  4.10891667E-05
3.07396780E-02  3.99779929E-03  3.90691901E-05
3.20761393E-02  3.90354173E-03  4.04027151E-05
3.34125946E-02  3.86101355E-03  3.67096582E-05
3.47490438E-02  3.81654679E-03  3.51332796E-05
3.60854865E-02  3.72541336E-03  3.47453074E-05
3.74219226E-02  3.67547444E-03  3.41197286E-05
3.87583518E-02  3.66085130E-03  3.29608958E-05
4.00947738E-02  3.62040047E-03  3.24027439E-05
4.14311883E-02  3.58490226E-03  3.11403736E-05
4.27675953E-02  3.62131702E-03  3.07864085E-05
4.41039943E-02  3.53963070E-03  2.98145953E-05
4.54403851E-02  3.54233873E-03  2.92729375E-05
4.67767676E-02  3.52412045E-03  2.97419677E-05
4.81131414E-02  3.42349315E-03  2.87478423E-05
4.94495063E-02  3.44941572E-03  2.93608883E-05
5.07858621E-02  3.42630073E-03  2.72126309E-05
5.21222085E-02  3.40276834E-03  2.71790469E-05
5.34585452E-02  3.38784437E-03  2.68187266E-05
5.47948721E-02  3.37941392E-03  2.71133330E-05
5.61311889E-02  3.36872711E-03  2.64132467E-05
5.74674952E-02  3.38255541E-03  2.60692328E-05
5.88037910E-02  3.35314873E-03  2.59346969E-05
6.01400758E-02  3.38829533E-03  2.53648346E-05
6.14763496E-02  3.30446554E-03  2.47711446E-05
6.28126120E-02  3.29944934E-03  2.57080174E-05
6.41488628E-02  3.28898919E-03  2.45504025E-05
6.54851017E-02  3.27885426E-03  2.44916626E-05
6.68213285E-02  3.27546974E-03  2.42632069E-05
6.81575430E-02  3.27679767E-03  2.39065005E-05
6.94937449E-02  3.25430877E-03  2.43969846E-05
7.08299339E-02  3.27002766E-03  2.39942557E-05
7.21661098E-02  3.25698839E-03  2.43223327E-05
7.35022724E-02  3.21122894E-03  2.44868765E-05
7.48384215E-02  3.21185688E-03  2.43075798E-05
7.61745566E-02  3.22491425E-03  2.43620335E-05
7.75106778E-02  3.18142512E-03  2.39374660E-05
7.88467845E-02  3.20714601E-03  2.44196014E-05
8.01828767E-02  3.18430691E-03  2.43180685E-05
8.15189541E-02  3.17796056E-03  2.32413425E-05
8.28550165E-02  3.23466952E-03  2.36038231E-05
8.41910635E-02  3.22123401E-03  2.34465232E-05
8.55270949E-02  3.18720685E-03  2.38357080E-05
8.68631106E-02  3.15723686E-03  2.26640973E-05
8.81991102E-02  3.15762954E-03  2.31999486E-05
8.95350935E-02  3.19215966E-03  2.29835832E-05
9.08710603E-02  3.20602650E-03  2.32258569E-05
9.22070102E-02  3.18559910E-03  2.29573627E-05
9.35429432E-02  3.18123548E-03  2.33607214E-05
9.48788588E-02  3.18908324E-03  2.26901474E-05
9.62147569E-02  3.18777833E-03  2.27815499E-05
9.75506373E-02  3.16772955E-03  2.32014984E-05
9.88864996E-02  3.20319285E-03  2.26104445E-05
1.00222344E-01  3.13262016E-03  2.23091971E-05
1.01558169E-01  3.18883929E-03  2.25335572E-05
1.02893976E-01  3.12200078E-03  2.17364835E-05
1.04229764E-01  3.11619337E-03  2.14696223E-05
1.05565532E-01  3.15507679E-03  2.07589790E-05
1.06901281E-01  3.18076914E-03  2.07797657E-05
1.08237011E-01  3.15286745E-03  2.06302426E-05
