### DATA:
#
# 430
#      Q             I(Q)           Error     
1.06922151E-02  3.22178994E-02  7.43402472E-04
1.20287357E-02  2.68723505E-02  5.40794518E-04
1.33652541E-02  2.20956991E-02  2.27723830E-04
1.47017700E-02  2.00444233E-02  1.57232898E-04
1.60382831E-02  1.83713543E-02  1.19621246E-04
1.73747933E-02  1.74675127E-02  1.11767695E-04
1.87113003E-02  1.67163706E-02  1.03683271E-04
2.00478039E-02  1.64721418E-02  1.01367042E-04
2.13843037E-02  1.63658573E-02  9.44257062E-05
2.27207996E-02  1.60015712E-02  9.28244463E-05
2.40572913E-02  1.56922377E-02  8.61203195E-05
2.53937785E-02  1.55926482E-02  8.21774513E-05
2.67302610E-02  1.53547683E-02  7.67604132E-05
2.80667386E-02  1.52063068E-02  7.46492243E-05
2.94032110E-02  1.51008558E-02  7.27067075E-05
3.07396780E-02  1.50473022E-02  6.96117119E-05
3.20761393E-02  1.48000628E-02  6.90557973E-05
3.34125946E-02  1.47327501E-02  6.59433609E-05
3.47490438E-02  1.44698512E-02  6.65380474E-05
3.60854865E-02  1.45424447E-02  6.43030052E-05
3.74219226E-02  1.43588855E-02  6.34190900E-05
3.87583518E-02  1.42666360E-02  6.02503338E-05
4.00947738E-02  1.42410475E-02  5.98788409E-05
4.14311883E-02  1.40102902E-02  6.03413026E-05
4.27675953E-02  1.39560355E-02  5.83705660E-05
4.41039943E-02  1.39056559E-02  5.83277799E-05
4.54403851E-02  1.38435438E-02  5.46159044E-05
4.67767676E-02  1.36689470E-02  5.53704081E-05
4.81131414E-02  1.35627130E-02  5.48017346E-05
4.94495063E-02  1.34657279E-02  5.25438238E-05
5.07858621E-02  1.33924945E-02  5.07410624E-05
5.21222085E-02  1.32947687E-02  5.12901303E-05
5.34585452E-02  1.32749313E-02  4.97098416E-05
5.47948721E-02  1.31355717E-02  4.97627911E-05
5.61311889E-02  1.28752488E-02  4.99412148E-05
5.74674952E-02  1.28529595E-02  4.92075739E-05
5.88037910E-02  1.26425845E-02  4.72621265E-05
6.01400758E-02  1.25819822E-02  4.63393210E-05
6.14763496E-02  1.25596327E-02  4.65739126E-05
6.28126120E-02  1.24130897E-02  4.62693396E-05
6.41488628E-02  1.22924430E-02  4.38305444E-05
6.54851017E-02  1.21414045E-02  4.38996105E-05
6.68213285E-02  1.19876622E-02  4.31805633E-05
6.81575430E-02  1.18468896E-02  4.28295124E-05
6.94937449E-02  1.17821339E-02  4.36151552E-05
7.08299339E-02  1.16590075E-02  4.27285888E-05
7.21661098E-02  1.14755019E-02  4.34408770E-05
7.35022724E-02  1.13648798E-02  4.27404894E-05
7.48384215E-02  1.12677440E-02  4.20894214E-05
7.61745566E-02  1.11215645E-02  4.25760120E-05
7.75106778E-02  1.09916429E-02  4.22569829E-05
7.88467845E-02  1.08696312E-02  4.00251801E-05
8.01828767E-02  1.08409823E-02  4.21493473E-05
8.15189541E-02  1.06235245E-02  4.15134857E-05
8.28550165E-02  1.04458742E-02  4.00553854E-05
8.41910635E-02  1.03479667E-02  4.06683542E-05
8.55270949E-02  1.02369166E-02  4.01248734E-05
8.68631106E-02  1.01345568E-02  3.97812672E-05
8.81991102E-02  1.00548792E-02  3.88416605E-05
8.95350935E-02  9.88736030E-03  3.89750484E-05
9.08710603E-02  9.73656788E-03  3.87427068E-05
9.22070102E-02  9.68235835E-03  3.86937438E-05
9.35429432E-02  9.48568089E-03  3.75307260E-05
9.48788588E-02  9.41832526E-03  3.69611114E-05
9.62147569E-02  9.29654331E-03  3.66021800E-05
9.75506373E-02  9.11053355E-03  3.71847852E-05
9.88864996E-02  8.94726115E-03  3.54077408E-05
1.00222344E-01  8.90004961E-03  3.61192053E-05
1.01558169E-01  8.75056128E-03  3.51357959E-05
1.02893976E-01  8.63371766E-03  3.40664088E-05
1.04229764E-01  8.56569685E-03  3.39634257E-05
1.05565532E-01  8.45486188E-03  3.23752847E-05
1.06901281E-01  8.24173893E-03  3.16756001E-05
1.08237011E-01  8.18701679E-03  3.12392909E-05
1.09572720E-01  8.04541608E-03  3.05663122E-05
1.10908409E-01  7.92833018E-03  3.06064303E-05
1.12244077E-01  7.83581885E-03  2.96294385E-05
1.13579725E-01  7.69149041E-03  2.82851677E-05
1.14915352E-01  7.59891911E-03  2.86345581E-05
1.16250958E-01  7.49187024E-03  2.84595846E-05
1.17586542E-01  7.43727309E-03  2.77158477E-05
1.18922104E-01  7.27802826E-03  2.66167603E-05
1.20257645E-01  7.18968244E-03  2.70335377E-05
1.21593163E-01  7.06412333E-03  2.59815062E-05
1.22928659E-01  7.02914073E-03  2.59593260E-05
1.24264132E-01  6.94426371E-03  2.58193858E-05
1.25599582E-01  6.76220100E-03  2.51228528E-05
1.26935009E-01  6.71677345E-03  2.51465285E-05
1.28270412E-01  6.60102740E-03  2.45078604E-05
1.29605792E-01  6.52773961E-03  2.44116176E-05
1.30941148E-01  6.44075855E-03  2.38474036E-05
1.32276480E-01  6.34923566E-03  2.39228311E-05
1.33611787E-01  6.24505008E-03  2.38921096E-05
1.34947070E-01  6.12918931E-03  2.25505956E-05
1.36282327E-01  6.06983448E-03  2.28763544E-05
1.37617560E-01  5.99348618E-03  2.22567652E-05
1.38952767E-01  5.93067541E-03  2.27757193E-05
1.40287948E-01  5.89833806E-03  2.25262865E-05
1.41623104E-01  5.78111870E-03  2.15683518E-05
1.42958234E-01  5.68851884E-03  2.14279644E-05
1.44293337E-01  5.65122619E-03  2.15211098E-05
1.45628413E-01  5.54748995E-03  2.13579651E-05
1.46963463E-01  5.42899018E-03  2.08696698E-05
1.48298485E-01  5.39173126E-03  2.08216693E-05
1.49633480E-01  5.34714706E-03  2.04169623E-05
