### DATA:

         Q               I              Error
430
1.06922151E-02 2.03127869E-02 2.28613119E-03
1.20287357E-02 1.53250661E-02 1.54258523E-03
1.33652541E-02 1.06571721E-02 7.35546217E-04
1.47017700E-02 8.39247471E-03 3.96228416E-04
1.60382831E-02 7.03942990E-03 2.82599980E-04
1.73747933E-02 5.80337549E-03 2.06067217E-04
1.87113003E-02 5.38849508E-03 2.11022042E-04
2.00478039E-02 5.26410505E-03 2.32729398E-04
2.13843037E-02 5.05067180E-03 1.92879702E-04
2.27207996E-02 4.62797615E-03 1.98819785E-04
2.40572913E-02 4.49736237E-03 1.50503113E-04
2.53937785E-02 4.07086118E-03 1.36022417E-04
2.67302610E-02 4.10055319E-03 1.41057576E-04
2.80667386E-02 4.14392959E-03 1.28426552E-04
2.94032110E-02 3.93439992E-03 1.26254235E-04
3.07396780E-02 3.98824549E-03 1.10272303E-04
3.20761393E-02 3.85073739E-03 1.26606547E-04
3.34125946E-02 3.82778900E-03 1.15653076E-04
3.47490438E-02 3.65357615E-03 1.05507519E-04
3.60854865E-02 3.52614885E-03 1.03589377E-04
3.74219226E-02 3.69904470E-03 1.14062199E-04
3.87583518E-02 3.66710967E-03 9.94176721E-05
4.00947738E-02 3.64060134E-03 9.89551056E-05
4.14311883E-02 3.40571101E-03 9.50092692E-05
4.27675953E-02 3.59626574E-03 9.80131926E-05
4.41039943E-02 3.36838022E-03 9.17870140E-05
4.54403851E-02 3.45886210E-03 8.92010621E-05
4.67767676E-02 3.38394508E-03 8.86472625E-05
4.81131414E-02 3.31261358E-03 8.32680269E-05
4.94495063E-02 3.46444069E-03 9.20656370E-05
5.07858621E-02 3.32934455E-03 8.26941157E-05
5.21222085E-02 3.35799531E-03 7.88391140E-05
5.34585452E-02 3.30425906E-03 8.40938368E-05
5.47948721E-02 3.36401865E-03 7.65727854E-05
5.61311889E-02 3.41958780E-03 8.40344867E-05
5.74674952E-02 3.29217711E-03 7.65914327E-05
5.88037910E-02 3.45886783E-03 8.30686662E-05
6.01400758E-02 3.31910359E-03 7.71867932E-05
6.14763496E-02 3.26987129E-03 7.19869028E-05
6.28126120E-02 3.26656497E-03 7.60437210E-05
6.41488628E-02 3.33071821E-03 7.56245744E-05
6.54851017E-02 3.16680712E-03 7.20454939E-05
6.68213285E-02 3.22368989E-03 6.89475382E-05
6.81575430E-02 3.20418510E-03 7.18731780E-05
6.94937449E-02 3.14580864E-03 7.30217999E-05
7.08299339E-02 3.23943733E-03 7.28189439E-05
7.21661098E-02 3.20990174E-03 6.92724176E-05
7.35022724E-02 3.21551729E-03 7.77288789E-05
7.48384215E-02 3.18888144E-03 7.40721626E-05
7.61745566E-02 3.21601534E-03 7.45650774E-05
7.75106778E-02 3.19401422E-03 7.33351064E-05
7.88467845E-02 3.09022859E-03 7.42209415E-05
8.01828767E-02 3.17977635E-03 7.64334098E-05
8.15189541E-02 3.11523333E-03 7.01506708E-05
8.28550165E-02 3.15057813E-03 7.04202957E-05
8.41910635E-02 3.10886723E-03 7.03203449E-05
8.55270949E-02 3.21333493E-03 7.11465130E-05
8.68631106E-02 3.23585870E-03 6.88066413E-05
8.81991102E-02 3.06883516E-03 7.08183583E-05
8.95350935E-02 3.12196091E-03 7.07899100E-05
9.08710603E-02 3.18157694E-03 6.88360947E-05
9.22070102E-02 3.13901952E-03 6.94825846E-05
9.35429432E-02 3.16625822E-03 7.07504054E-05
9.48788588E-02 3.16396598E-03 6.73069618E-05
9.62147569E-02 3.28175236E-03 7.18570426E-05
9.75506373E-02 3.08571955E-03 6.38828242E-05
9.88864996E-02 3.21586428E-03 6.96563586E-05
1.00222344E-01 3.14396379E-03 6.79697977E-05
1.01558169E-01 3.20386327E-03 6.99754104E-05
1.02893976E-01 2.99396402E-03 6.53203433E-05
1.04229764E-01 3.03636480E-03 6.62865231E-05
1.05565532E-01 3.10815013E-03 6.02068349E-05
1.06901281E-01 3.11445491E-03 6.33301058E-05
1.08237011E-01 3.08971348E-03 6.22827543E-05
1.09572720E-01 3.08387617E-03 6.22830353E-05
1.10908409E-01 3.12483715E-03 6.14824296E-05
1.12244077E-01 3.07335729E-03 5.80564993E-05
1.13579725E-01 3.19107880E-03 5.85287896E-05
1.14915352E-01 3.09761268E-03 6.11813567E-05
1.16250958E-01 3.16901789E-03 5.56232383E-05
1.17586542E-01 3.15234433E-03 5.77712328E-05
1.18922104E-01 3.15937598E-03 5.96248715E-05
1.20257645E-01 3.05075438E-03 5.36268179E-05
1.21593163E-01 3.12521447E-03 5.63074711E-05
1.22928659E-01 3.16023922E-03 5.53641598E-05
1.24264132E-01 2.99957209E-03 5.37954853E-05
1.25599582E-01 3.15145988E-03 5.57047149E-05
1.26935009E-01 2.99787533E-03 5.37648330E-05
1.28270412E-01 3.08975287E-03 5.15341217E-05
1.29605792E-01 3.17489765E-03 5.46839742E-05
1.30941148E-01 3.05009986E-03 5.38116888E-05
1.32276480E-01 3.16988732E-03 5.41303771E-05
1.33611787E-01 3.01461767E-03 5.22406981E-05
1.34947070E-01 3.06257410E-03 5.07545555E-05
1.36282327E-01 3.09162819E-03 5.21313491E-05
1.37617560E-01 3.11345243E-03 5.10350144E-05
1.38952767E-01 3.14611916E-03 5.21327156E-05
1.40287948E-01 3.07280782E-03 5.18624062E-05
1.41623104E-01 3.01547170E-03 5.06700626E-05
1.42958234E-01 3.10008398E-03 5.09995438E-05
1.44293337E-01 3.16996386E-03 4.97693275E-05
1.45628413E-01 3.04381280E-03 4.91855485E-05
1.46963463E-01 3.06155964E-03 4.90509791E-05
1.48298485E-01 3.11366005E-03 5.17816856E-05
1.49633480E-01 3.18382474E-03 5.04956315E-05
1.50968447E-01 3.06915363E-03 4.62212221E-05
1.52303387E-01 3.03801914E-03 4.93368928E-05
1.53638298E-01 3.00753332E-03 4.68872531E-05
1.54973182E-01 3.02815585E-03 4.84283781E-05
1.56308036E-01 3.12666296E-03 4.93975143E-05
1.57642862E-01 3.08802701E-03 4.67305954E-05
1.58977658E-01 3.08994841E-03 4.59287811E-05
1.60312426E-01 3.10526852E-03 4.75561478E-05
1.61647163E-01 3.03083573E-03 4.73145120E-05
1.62981871E-01 3.11318504E-03 4.55970011E-05
1.64316549E-01 3.05407982E-03 4.69373575E-05
1.65651196E-01 3.11670604E-03 4.65842087E-05
1.66985813E-01 3.10313468E-03 4.78879942E-05
1.68320399E-01 2.91787336E-03 4.42882667E-05
1.69654954E-01 3.09846962E-03 4.62861325E-05
1.70989478E-01 3.16401485E-03 4.75130736E-05
1.72323970E-01 3.06883094E-03 4.52504926E-05
1.73658431E-01 3.04502649E-03 4.38738349E-05
1.74992859E-01 3.07650050E-03 4.46554615E-05
1.76327255E-01 3.04031408E-03 4.46224966E-05
1.77661619E-01 3.07405473E-03 4.42356243E-05
1.78995950E-01 3.11136118E-03 4.55632983E-05
