### DATA:

         Q               I              Error
430
1.06922151E-02 2.59483587E-02 2.41307940E-03
1.20287357E-02 2.09794207E-02 1.64576808E-03
1.33652541E-02 1.70276117E-02 7.67201042E-04
1.47017700E-02 1.42387883E-02 4.47106464E-04
1.60382831E-02 1.27335720E-02 3.54717203E-04
1.73747933E-02 1.14283684E-02 2.97488844E-04
1.87113003E-02 1.11880614E-02 2.76591203E-04
2.00478039E-02 1.06683217E-02 3.05721853E-04
2.13843037E-02 1.08445829E-02 2.79812294E-04
2.27207996E-02 1.02492093E-02 2.21439886E-04
2.40572913E-02 1.00548034E-02 2.24289669E-04
2.53937785E-02 9.72876400E-03 2.22166360E-04
2.67302610E-02 9.68539144E-03 1.74030482E-04
2.80667386E-02 9.59363620E-03 1.90398876E-04
2.94032110E-02 9.57245898E-03 1.89317414E-04
3.07396780E-02 9.70078962E-03 1.80865499E-04
3.20761393E-02 9.25482416E-03 1.69385221E-04
3.34125946E-02 9.42513932E-03 1.79247919E-04
3.47490438E-02 8.94570813E-03 1.63837948E-04
3.60854865E-02 9.28812922E-03 1.38436544E-04
3.74219226E-02 8.82764874E-03 1.54449481E-04
3.87583518E-02 9.18406091E-03 1.70187709E-04
4.00947738E-02 8.48807868E-03 1.61611338E-04
4.14311883E-02 8.69444305E-03 1.49240808E-04
4.27675953E-02 8.78012002E-03 1.45129335E-04
4.41039943E-02 8.53318793E-03 1.40901480E-04
4.54403851E-02 8.54949985E-03 1.33344881E-04
4.67767676E-02 8.44497673E-03 1.46829502E-04
4.81131414E-02 8.43757088E-03 1.38059985E-04
4.94495063E-02 8.39523826E-03 1.36923928E-04
5.07858621E-02 8.56120037E-03 1.25811607E-04
5.21222085E-02 8.28085418E-03 1.32320246E-04
5.34585452E-02 8.04307062E-03 1.24827881E-04
5.47948721E-02 8.15113723E-03 1.19013675E-04
5.61311889E-02 7.97846702E-03 1.20834169E-04
5.74674952E-02 8.13803905E-03 1.10745959E-04
5.88037910E-02 8.01376719E-03 1.31835556E-04
6.01400758E-02 8.01718755E-03 1.15695125E-04
6.14763496E-02 7.81395877E-03 1.11033997E-04
6.28126120E-02 7.76822781E-03 1.27549315E-04
6.41488628E-02 7.74721041E-03 1.12447746E-04
6.54851017E-02 7.59594944E-03 1.09224592E-04
6.68213285E-02 7.55498783E-03 1.09869281E-04
6.81575430E-02 7.55159386E-03 1.12616218E-04
6.94937449E-02 7.41056312E-03 1.15345528E-04
7.08299339E-02 7.43956228E-03 1.04415424E-04
7.21661098E-02 7.37696376E-03 1.11244304E-04
7.35022724E-02 7.27190154E-03 1.04686358E-04
7.48384215E-02 7.30264540E-03 1.14675605E-04
7.61745566E-02 7.10356797E-03 1.12248734E-04
7.75106778E-02 7.07890199E-03 1.11759740E-04
7.88467845E-02 7.13005896E-03 1.08235721E-04
8.01828767E-02 6.97474397E-03 1.12726183E-04
8.15189541E-02 6.91334761E-03 1.07776245E-04
8.28550165E-02 6.80406232E-03 1.00693513E-04
8.41910635E-02 6.75084425E-03 1.01945347E-04
8.55270949E-02 6.65508697E-03 9.92026510E-05
8.68631106E-02 6.43685647E-03 1.02396897E-04
8.81991102E-02 6.62948530E-03 9.47599337E-05
8.95350935E-02 6.50311921E-03 1.01984659E-04
9.08710603E-02 6.47643185E-03 9.72489780E-05
9.22070102E-02 6.60569297E-03 9.96392758E-05
9.35429432E-02 6.42527982E-03 1.01135617E-04
9.48788588E-02 6.36877141E-03 9.71416870E-05
9.62147569E-02 6.25829836E-03 9.53993396E-05
9.75506373E-02 6.23039208E-03 9.18334159E-05
9.88864996E-02 6.10081190E-03 8.81418679E-05
1.00222344E-01 6.03252441E-03 9.35489832E-05
1.01558169E-01 5.98488944E-03 9.16516026E-05
1.02893976E-01 5.91274512E-03 8.54740745E-05
1.04229764E-01 5.87607130E-03 8.62723154E-05
1.05565532E-01 6.10246671E-03 8.70904697E-05
1.06901281E-01 5.58122209E-03 8.33943840E-05
1.08237011E-01 5.73233545E-03 8.20043256E-05
1.09572720E-01 5.68538280E-03 8.38593646E-05
1.10908409E-01 5.67783231E-03 8.29460231E-05
1.12244077E-01 5.63429474E-03 7.94453794E-05
1.13579725E-01 5.43634541E-03 7.74225157E-05
1.14915352E-01 5.31309775E-03 8.13770911E-05
1.16250958E-01 5.24114205E-03 7.27233018E-05
1.17586542E-01 5.48496605E-03 7.42345755E-05
1.18922104E-01 5.15738889E-03 7.18468214E-05
1.20257645E-01 5.31370011E-03 7.33296428E-05
1.21593163E-01 5.18747839E-03 7.82245803E-05
1.22928659E-01 5.27939652E-03 6.90990817E-05
1.24264132E-01 5.11602844E-03 7.07618312E-05
1.25599582E-01 5.07097763E-03 6.91024646E-05
1.26935009E-01 5.09849664E-03 7.24283052E-05
1.28270412E-01 4.98067484E-03 6.42292559E-05
1.29605792E-01 4.96221218E-03 6.91025996E-05
1.30941148E-01 4.83054471E-03 6.44994980E-05
1.32276480E-01 4.85716863E-03 6.92007848E-05
1.33611787E-01 4.79976037E-03 6.37980480E-05
1.34947070E-01 4.77058227E-03 6.37255600E-05
1.36282327E-01 4.75090847E-03 6.30257724E-05
1.37617560E-01 4.67791368E-03 6.43815882E-05
1.38952767E-01 4.48266354E-03 6.45190311E-05
1.40287948E-01 4.57572150E-03 6.18870406E-05
1.41623104E-01 4.52192743E-03 6.10346556E-05
1.42958234E-01 4.50859070E-03 5.99531680E-05
1.44293337E-01 4.41273822E-03 5.84543426E-05
1.45628413E-01 4.35982834E-03 5.69365640E-05
1.46963463E-01 4.28656772E-03 6.04578825E-05
1.48298485E-01 4.26388375E-03 5.77129569E-05
1.49633480E-01 4.33575852E-03 5.74433010E-05
1.50968447E-01 4.26482526E-03 5.73649543E-05
1.52303387E-01 4.17830271E-03 5.51913873E-05
1.53638298E-01 4.08615724E-03 5.50094385E-05
1.54973182E-01 4.20380570E-03 5.82854907E-05
1.56308036E-01 4.11576308E-03 5.57544296E-05
1.57642862E-01 4.04015042E-03 5.70695851E-05
1.58977658E-01 4.07698996E-03 5.25086625E-05
1.60312426E-01 4.11151004E-03 5.24647844E-05
1.61647163E-01 3.99370357E-03 5.46667311E-05
1.62981871E-01 3.99855613E-03 5.38201696E-05
1.64316549E-01 3.97659681E-03 5.31838507E-05
1.65651196E-01 3.95893341E-03 5.20663573E-05
1.66985813E-01 3.89580120E-03 5.04006882E-05
1.68320399E-01 3.81098584E-03 5.04788988E-05
1.69654954E-01 3.82511488E-03 5.25685025E-05
1.70989478E-01 3.78039804E-03 5.14036973E-05
1.72323970E-01 3.88577419E-03 5.28429460E-05
1.73658431E-01 3.73219072E-03 5.04889676E-05
1.74992859E-01 3.71257330E-03 4.82247360E-05
1.76327255E-01 3.71682017E-03 4.86919121E-05
1.77661619E-01 3.80041741E-03 5.02476476E-05
1.78995950E-01 3.75076430E-03 4.90125152E-05
1.80330247E-01 3.63664445E-03 4.76408789E-05
